x,y,z,date
0.57,0.6,0.11,2018-12-11 10:52:17.818844
0.57,0.69,0.03,2018-12-11 10:52:17.840361
0.41,0.75,0.06,2018-12-11 10:52:17.861881
0.36,0.69,0.15,2018-12-11 10:52:17.883731
0.35,0.78,0.11,2018-12-11 10:52:17.905651
0.36,0.84,0.03,2018-12-11 10:52:17.927305
0.33,0.93,0.02,2018-12-11 10:52:17.949072
0.32,0.97,0.03,2018-12-11 10:52:17.970884
0.19,1.01,0.04,2018-12-11 10:52:17.992828
0.2,0.95,0.0,2018-12-11 10:52:18.014708
0.25,0.92,0.07,2018-12-11 10:52:18.036292
0.27,0.88,0.07,2018-12-11 10:52:18.058123
0.27,0.95,0.01,2018-12-11 10:52:18.079687
0.27,1.03,0.04,2018-12-11 10:52:18.101471
0.32,1.03,0.01,2018-12-11 10:52:18.123597
0.34,0.93,0.11,2018-12-11 10:52:18.145354
0.4,0.88,0.08,2018-12-11 10:52:18.167151
0.42,0.85,0.07,2018-12-11 10:52:18.188875
0.47,0.66,0.2,2018-12-11 10:52:18.210587
0.57,0.56,0.3,2018-12-11 10:52:18.232441
0.75,0.31,0.49,2018-12-11 10:52:18.254381
1.39,0.34,0.73,2018-12-11 10:52:18.276127
2.54,0.47,1.0,2018-12-11 10:52:18.297882
2.12,0.25,0.69,2018-12-11 10:52:18.319642
0.4,0.53,0.53,2018-12-11 10:52:18.341449
2.35,0.82,2.49,2018-12-11 10:52:18.363379
2.01,2.47,2.18,2018-12-11 10:52:18.385007
